symbol,category,raw_unit,calc_unit,domain,definition_ko,source,primary_conditions,dependencies,mr_dependencies,status
tWCK2DQI_MAX,io_ac,ps,nCK,CK,"DQ to WCK input offset max. ODTLoff와 rank timing에 사용",Table477_Table478,"WCK FM|DVFS mode|data rate","wck_fm|dvfs mode|data_rate|tCK|temp/volt variation coefficient","MR11|MR21",seeded_with_tbd
tRPST,rdqs,tWCK_or_tCK,nCK,CK,"Read DQS postamble. tRTW ODT enabled 및 rank timing에 사용",MR10_Table90_Table455,"RDQS enable|RDQS ratio|PST mode|PST length","MR10 OP[7:6]|MR10 OP[5]|MR10 OP[1]|MR22 RDQS|tWCK|tCK","MR10|MR22",seeded_with_tbd_ac
tRPRE,rdqs,tWCK_or_tCK,nCK,CK,"Read DQS preamble. rank-to-rank/meta timing에 사용",MR10_Table90_Table455,"RDQS enable|RDQS pre-shift|RDQS PRE|RDQS ratio|speed limit","MR10 OP[0]|MR10 OP[4:2]|MR10 OP[1]|MR22 RDQS|data_rate|tWCK|tCK","MR10|MR22",seeded_with_tbd_ac
tWCKPST,wck,tWCK,nCK,CK,"WCK postamble. WCK sync-off deadline과 CAS WS_OFF timing에 사용",MR22_Table117,"MR22 OP[7:6]","MR22 WCK PST|tWCK|tCK","MR22",seeded
ODTLon,odt,nCK,nCK,CK,"Write command 기준 ODT turn-on reference까지의 synchronous latency",Table319_Table329,"DQ ODT or NT-ODT write behavior|speed range","WL|data_rate","MR19|MR20",seeded
ODTLoff,odt,nCK,nCK,CK,"Write command 기준 ODT turn-off reference까지의 synchronous latency",Table319_Table329,"BL|speed range|tWCK2DQI","WL|BLN_MIN|tWCK2DQI","MR19|MR20",seeded_with_tbd
tODTon_MIN,odt,ns,nCK,CK,"ODTLon 이후 termination이 Hi-Z를 벗어나기 시작하는 min time",Table320_Table330,"all operation frequency","tCK","MR19|MR20",seeded
tODTon_MAX,odt,ns,nCK,CK,"ODTLon 이후 ODT가 fully on 되는 max time",Table320_Table330,"all operation frequency","tCK","MR19|MR20",seeded
tODToff_MIN,odt,ns,nCK,CK,"ODTLoff 이후 ODT turn-off 시작 min time",Table320_Table330,"all operation frequency","tCK","MR19|MR20",seeded
tODToff_MAX,odt,ns,nCK,CK,"ODTLoff 이후 high impedance 도달 max time",Table320_Table330,"all operation frequency","tCK","MR19|MR20",seeded
ODTLon_RD_DQ,odt,nCK,nCK,CK,"Read command 기준 DQ NT-ODT turn-on reference latency",Table331,"Read NT-ODT|data rate|BL","RL|BLN_MIN|tWCK2DQO","MR20|MR22",seeded_with_tbd
ODTLoff_RD_DQ,odt,nCK,nCK,CK,"Read command 기준 DQ NT-ODT turn-off reference latency",Table331,"Read NT-ODT|data rate","RL","MR20",seeded_with_tbd
ODTLon_RD_RDQS,odt,nCK,nCK,CK,"Read command 기준 RDQS NT-ODT turn-on reference latency",Table332_335,"RDQS enable|RDQS PS|RDQS PRE|BL|data rate","RL|BLN_MIN|tWCK2DQO","MR10|MR20|MR22",seeded_with_tbd
ODTLoff_RD_RDQS,odt,nCK,nCK,CK,"Read command 기준 RDQS NT-ODT turn-off reference latency",Table332_335,"RDQS enable|RDQS PS|RDQS PRE|data rate","RL|MR10","MR10|MR20|MR22",seeded_with_tbd
tWCKENL_RD,wck_sync,nCK,nCK,CK,"Read WCK enable latency before sync sequence",Table256_Table259,"read command class|Read Link Protection|DVFSL|RL Set|MR1 speed bin","MR1 OP[4:0]|rl_set|read_link_protection|dvfsl","MR1|MR3|MR11|MR23",seeded_with_tbd
tWCKENL_WR,wck_sync,nCK,nCK,CK,"Write WCK enable latency before sync sequence",Table260,"write command class|WL Set|MR1 speed bin","MR1 OP[4:0]|wl_set","MR1",seeded_with_tbd
tWCKENL_FS,wck_sync,nCK,nCK,CK,"CAS WS=1 full-sync WCK enable latency",Table261,"CAS command|MR1 speed bin","MR1 OP[4:0]","MR1",seeded_with_tbd
tWCKPRE_Static,wck_sync,nCK,nCK,CK,"WCK preamble static portion",Table256_Table261,"command class|MR1 speed bin","MR1 OP[4:0]|read_link_protection|dvfsl|wl_set|rl_set","MR1|MR11|MR23",seeded_with_tbd
tWCKPRE_Toggle_RD,wck_sync,nCK,nCK,CK,"Read WCK preamble half/full toggle portions",Table256_Table259,"read command class|Read Link Protection|DVFSL|speed","MR1 OP[4:0]|rl_set|read_link_protection|dvfsl","MR1|MR11|MR23",seeded_with_tbd
tWCKPRE_Toggle_WR,wck_sync,nCK,nCK,CK,"Write WCK preamble half/full toggle portions",Table260,"write command class|WL Set|speed","MR1 OP[4:0]|wl_set","MR1",seeded_with_tbd
wck_sync_deadline_read,wck_sync,nCK,nCK,command,"Read 계열 command 후 WS=0 command가 가능한 WCK sync-on deadline",Table263,"current command read class","RL|BLN_MIN|tWCKPST","MR1|MR22",seeded
wck_sync_deadline_write,wck_sync,nCK,nCK,command,"Write 계열 command 후 WS=0 command가 가능한 WCK sync-on deadline",Table263,"current command write class","WL|BLN_MIN|tWCKPST","MR1|MR22",seeded
command_min_gap,command,nCK,nCK,command,"선택된 current->next command의 최소 command gap",Table383_412,"current cmd|next cmd|bank/rank/meta/efficiency/ODT","many","many",partial
command_max_gap_without_new_sync,command,nCK,nCK,command,"Auto Sync Off에서 새 WS 없이 가능한 최대 command gap",Table263,"current command class","sync deadline","MR1|MR22",seeded
tMRR,command,nCK,nCK,command,"MRR command period. MRR->MRR WCK Sync-Off matrix에서 사용",Table310,"next/current MRR","constant 12nCK","none",seeded
tWRWTR,training,nCK,nCK,command,"Write or meta write 이후 WFF까지 필요한 training-related delay",Table398_Note1,"previous write class|BLN_MAX|tCK","WL|BLN_MAX|RU(7.5ns/tCK)","MR1",seeded
tRTRRD,training,nCK,nCK,command,"Read/MRR/RFF/RDC 계열 이후 WFF/RD/RDC 등 training transition에 쓰이는 delay",Table398_Note3,"previous read class|BLN_MAX|tCK","RL|BLN_MAX|RU(7.5ns/tCK)","MR1",seeded
WFF_TO_RFF_MIN,training,nCK,nCK,command,"WFF 이후 RFF까지 필요한 delay. NT-ODT enabled path는 tODToff_MAX 추가 필요",Table264_Note4_Table398,"NT-ODT effective|BLN_MAX|RL|WL|tCK","WL|BLN_MAX|RL|RU(10ns/tCK)|tODToff_MAX","MR20",seeded_with_ntodt_unresolved
wck_sync_cmd_pair_rule,command,expr,nCK_or_state,command,"WCK Sync-Off CMD pair별 without/with new sync min/max expression",Table263_Table264,"current_cmd|next_cmd|bank_scope|WS","resolved parameter expressions","many",seeded
